geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Wichita,driving,NA,Kansas,United States,2020-03-06,151.86
city,Wichita,driving,NA,Kansas,United States,2020-03-07,156.76
city,Wichita,driving,NA,Kansas,United States,2020-03-08,102.95
city,Wichita,driving,NA,Kansas,United States,2020-03-09,108
city,Wichita,driving,NA,Kansas,United States,2020-03-10,114.7
city,Wichita,driving,NA,Kansas,United States,2020-03-11,124.26
city,Wichita,driving,NA,Kansas,United States,2020-03-12,123.85
city,Wichita,driving,NA,Kansas,United States,2020-03-13,132.29
city,Wichita,driving,NA,Kansas,United States,2020-03-14,113.07
city,Wichita,driving,NA,Kansas,United States,2020-03-15,77.26
city,Wichita,driving,NA,Kansas,United States,2020-03-16,92.62
city,Wichita,driving,NA,Kansas,United States,2020-03-17,88.85
city,Wichita,driving,NA,Kansas,United States,2020-03-18,85.9
city,Wichita,driving,NA,Kansas,United States,2020-03-19,87.03
city,Wichita,driving,NA,Kansas,United States,2020-03-20,88.95
city,Wichita,driving,NA,Kansas,United States,2020-03-21,77.44
city,Wichita,driving,NA,Kansas,United States,2020-03-22,52.57
city,Wichita,driving,NA,Kansas,United States,2020-03-23,74.31
city,Wichita,driving,NA,Kansas,United States,2020-03-24,75.08
city,Wichita,driving,NA,Kansas,United States,2020-03-25,67.59
city,Wichita,driving,NA,Kansas,United States,2020-03-26,69.89
city,Wichita,driving,NA,Kansas,United States,2020-03-27,77.63
city,Wichita,driving,NA,Kansas,United States,2020-03-28,64.46
city,Wichita,driving,NA,Kansas,United States,2020-03-29,50.91
city,Wichita,driving,NA,Kansas,United States,2020-03-30,66.91
city,Wichita,driving,NA,Kansas,United States,2020-03-31,70.02
city,Wichita,driving,NA,Kansas,United States,2020-04-01,71.06
city,Wichita,driving,NA,Kansas,United States,2020-04-02,70.34
city,Wichita,driving,NA,Kansas,United States,2020-04-03,74.47
city,Wichita,driving,NA,Kansas,United States,2020-04-04,61.86
city,Wichita,driving,NA,Kansas,United States,2020-04-05,49.61
city,Wichita,driving,NA,Kansas,United States,2020-04-06,68.84
city,Wichita,driving,NA,Kansas,United States,2020-04-07,72.59
city,Wichita,driving,NA,Kansas,United States,2020-04-08,75.12
city,Wichita,driving,NA,Kansas,United States,2020-04-09,76.45
city,Wichita,driving,NA,Kansas,United States,2020-04-10,86.67
city,Wichita,driving,NA,Kansas,United States,2020-04-11,75.11
city,Wichita,driving,NA,Kansas,United States,2020-04-12,41.39
city,Wichita,driving,NA,Kansas,United States,2020-04-13,70.56
city,Wichita,driving,NA,Kansas,United States,2020-04-14,73.09
city,Wichita,driving,NA,Kansas,United States,2020-04-15,84.12
city,Wichita,driving,NA,Kansas,United States,2020-04-16,81.88
city,Wichita,driving,NA,Kansas,United States,2020-04-17,89.2
city,Wichita,driving,NA,Kansas,United States,2020-04-18,85.58
city,Wichita,driving,NA,Kansas,United States,2020-04-19,65.46
city,Wichita,driving,NA,Kansas,United States,2020-04-20,88.86
city,Wichita,driving,NA,Kansas,United States,2020-04-21,89.85
city,Wichita,driving,NA,Kansas,United States,2020-04-22,79.57
city,Wichita,driving,NA,Kansas,United States,2020-04-23,95.32
city,Wichita,driving,NA,Kansas,United States,2020-04-24,95.99
city,Wichita,driving,NA,Kansas,United States,2020-04-25,94.17
city,Wichita,driving,NA,Kansas,United States,2020-04-26,71.31
city,Wichita,driving,NA,Kansas,United States,2020-04-27,92.94
city,Wichita,driving,NA,Kansas,United States,2020-04-28,94.55
city,Wichita,driving,NA,Kansas,United States,2020-04-29,96.82
city,Wichita,driving,NA,Kansas,United States,2020-04-30,102.06
city,Wichita,driving,NA,Kansas,United States,2020-05-01,118.65
city,Wichita,driving,NA,Kansas,United States,2020-05-02,102.51
city,Wichita,driving,NA,Kansas,United States,2020-05-03,80.45
city,Wichita,driving,NA,Kansas,United States,2020-05-04,101.13
city,Wichita,driving,NA,Kansas,United States,2020-05-05,115.06
city,Wichita,driving,NA,Kansas,United States,2020-05-06,109.68
city,Wichita,driving,NA,Kansas,United States,2020-05-07,101.89
city,Wichita,driving,NA,Kansas,United States,2020-05-08,129.19
city,Wichita,driving,NA,Kansas,United States,2020-05-09,121.47
city,Wichita,driving,NA,Kansas,United States,2020-05-10,82.66
city,Wichita,driving,NA,Kansas,United States,2020-05-11,NA
city,Wichita,driving,NA,Kansas,United States,2020-05-12,NA
city,Wichita,driving,NA,Kansas,United States,2020-05-13,108.86
city,Wichita,driving,NA,Kansas,United States,2020-05-14,122.35
city,Wichita,driving,NA,Kansas,United States,2020-05-15,134.58
city,Wichita,driving,NA,Kansas,United States,2020-05-16,124.47
city,Wichita,driving,NA,Kansas,United States,2020-05-17,98.73
city,Wichita,driving,NA,Kansas,United States,2020-05-18,131
city,Wichita,driving,NA,Kansas,United States,2020-05-19,137.68
city,Wichita,driving,NA,Kansas,United States,2020-05-20,137.95
city,Wichita,driving,NA,Kansas,United States,2020-05-21,134.99
city,Wichita,driving,NA,Kansas,United States,2020-05-22,158.55
city,Wichita,driving,NA,Kansas,United States,2020-05-23,144.12
city,Wichita,driving,NA,Kansas,United States,2020-05-24,106.15
city,Wichita,driving,NA,Kansas,United States,2020-05-25,97.54
city,Wichita,driving,NA,Kansas,United States,2020-05-26,135.84
city,Wichita,driving,NA,Kansas,United States,2020-05-27,142.44
city,Wichita,driving,NA,Kansas,United States,2020-05-28,145.75
city,Wichita,driving,NA,Kansas,United States,2020-05-29,168.71
city,Wichita,driving,NA,Kansas,United States,2020-05-30,160.54
city,Wichita,driving,NA,Kansas,United States,2020-05-31,116.8
city,Wichita,driving,NA,Kansas,United States,2020-06-01,145.07
city,Wichita,driving,NA,Kansas,United States,2020-06-02,142.32
city,Wichita,driving,NA,Kansas,United States,2020-06-03,143.03
city,Wichita,driving,NA,Kansas,United States,2020-06-04,154.6
city,Wichita,driving,NA,Kansas,United States,2020-06-05,174.27
city,Wichita,driving,NA,Kansas,United States,2020-06-06,161.77
city,Wichita,driving,NA,Kansas,United States,2020-06-07,119.3
city,Wichita,driving,NA,Kansas,United States,2020-06-08,146.31
city,Wichita,driving,NA,Kansas,United States,2020-06-09,147.73
city,Wichita,driving,NA,Kansas,United States,2020-06-10,151.77
city,Wichita,driving,NA,Kansas,United States,2020-06-11,157.07
city,Wichita,driving,NA,Kansas,United States,2020-06-12,182.98
city,Wichita,driving,NA,Kansas,United States,2020-06-13,175.83
city,Wichita,driving,NA,Kansas,United States,2020-06-14,127.12
city,Wichita,driving,NA,Kansas,United States,2020-06-15,150.08
city,Wichita,driving,NA,Kansas,United States,2020-06-16,155.74
city,Wichita,driving,NA,Kansas,United States,2020-06-17,153.72
city,Wichita,driving,NA,Kansas,United States,2020-06-18,164.92
city,Wichita,driving,NA,Kansas,United States,2020-06-19,178.78
city,Wichita,driving,NA,Kansas,United States,2020-06-20,183.24
city,Wichita,driving,NA,Kansas,United States,2020-06-21,117.24
city,Wichita,driving,NA,Kansas,United States,2020-06-22,152.18
city,Wichita,driving,NA,Kansas,United States,2020-06-23,159.25
city,Wichita,driving,NA,Kansas,United States,2020-06-24,161.11
city,Wichita,driving,NA,Kansas,United States,2020-06-25,175.67
city,Wichita,driving,NA,Kansas,United States,2020-06-26,205.34
city,Wichita,driving,NA,Kansas,United States,2020-06-27,201.18
city,Wichita,driving,NA,Kansas,United States,2020-06-28,137.29
city,Wichita,driving,NA,Kansas,United States,2020-06-29,152.89
city,Wichita,driving,NA,Kansas,United States,2020-06-30,155.56
city,Wichita,driving,NA,Kansas,United States,2020-07-01,163.31
city,Wichita,driving,NA,Kansas,United States,2020-07-02,171.56
city,Wichita,driving,NA,Kansas,United States,2020-07-03,165.27
city,Wichita,driving,NA,Kansas,United States,2020-07-04,125.4
city,Wichita,driving,NA,Kansas,United States,2020-07-05,112.65
city,Wichita,driving,NA,Kansas,United States,2020-07-06,150.66
city,Wichita,driving,NA,Kansas,United States,2020-07-07,155.66
city,Wichita,driving,NA,Kansas,United States,2020-07-08,155.95
city,Wichita,driving,NA,Kansas,United States,2020-07-09,160.99
city,Wichita,driving,NA,Kansas,United States,2020-07-10,182.89
city,Wichita,driving,NA,Kansas,United States,2020-07-11,173.17
city,Wichita,driving,NA,Kansas,United States,2020-07-12,124.12
city,Wichita,driving,NA,Kansas,United States,2020-07-13,147.69
city,Wichita,driving,NA,Kansas,United States,2020-07-14,152.39
city,Wichita,driving,NA,Kansas,United States,2020-07-15,155.85
city,Wichita,driving,NA,Kansas,United States,2020-07-16,160.31
city,Wichita,driving,NA,Kansas,United States,2020-07-17,183.63
city,Wichita,driving,NA,Kansas,United States,2020-07-18,169.62
city,Wichita,driving,NA,Kansas,United States,2020-07-19,122.84
city,Wichita,driving,NA,Kansas,United States,2020-07-20,146.11
city,Wichita,driving,NA,Kansas,United States,2020-07-21,151.98
city,Wichita,driving,NA,Kansas,United States,2020-07-22,154.71
city,Wichita,driving,NA,Kansas,United States,2020-07-23,159.98
city,Wichita,driving,NA,Kansas,United States,2020-07-24,178.96
city,Wichita,driving,NA,Kansas,United States,2020-07-25,177.73
city,Wichita,driving,NA,Kansas,United States,2020-07-26,128.88
city,Wichita,driving,NA,Kansas,United States,2020-07-27,146.7
city,Wichita,driving,NA,Kansas,United States,2020-07-28,153.11
city,Wichita,driving,NA,Kansas,United States,2020-07-29,153.79
city,Wichita,driving,NA,Kansas,United States,2020-07-30,160.59
city,Wichita,driving,NA,Kansas,United States,2020-07-31,198.93
city,Wichita,driving,NA,Kansas,United States,2020-08-01,188.79
city,Wichita,driving,NA,Kansas,United States,2020-08-02,130.9
city,Wichita,driving,NA,Kansas,United States,2020-08-03,156.61
city,Wichita,driving,NA,Kansas,United States,2020-08-04,162.47
city,Wichita,driving,NA,Kansas,United States,2020-08-05,158.06
city,Wichita,driving,NA,Kansas,United States,2020-08-06,166.32
city,Wichita,driving,NA,Kansas,United States,2020-08-07,183.3
city,Wichita,driving,NA,Kansas,United States,2020-08-08,176.19
city,Wichita,driving,NA,Kansas,United States,2020-08-09,128.84
city,Wichita,driving,NA,Kansas,United States,2020-08-10,152.85
city,Wichita,driving,NA,Kansas,United States,2020-08-11,159.2
city,Wichita,driving,NA,Kansas,United States,2020-08-12,157.62
city,Wichita,driving,NA,Kansas,United States,2020-08-13,167.42
city,Wichita,driving,NA,Kansas,United States,2020-08-14,187.24
city,Wichita,driving,NA,Kansas,United States,2020-08-15,177.34
city,Wichita,driving,NA,Kansas,United States,2020-08-16,126.69
city,Wichita,driving,NA,Kansas,United States,2020-08-17,147.96
city,Wichita,driving,NA,Kansas,United States,2020-08-18,151.08
city,Wichita,driving,NA,Kansas,United States,2020-08-19,152.62
city,Wichita,driving,NA,Kansas,United States,2020-08-20,161.8
city,Wichita,driving,NA,Kansas,United States,2020-08-21,181.69
city,Wichita,driving,NA,Kansas,United States,2020-08-22,172.44
city,Wichita,driving,NA,Kansas,United States,2020-08-23,125.61
city,Wichita,driving,NA,Kansas,United States,2020-08-24,144.21
city,Wichita,driving,NA,Kansas,United States,2020-08-25,145.46
city,Wichita,driving,NA,Kansas,United States,2020-08-26,148.85
city,Wichita,driving,NA,Kansas,United States,2020-08-27,154.79
city,Wichita,driving,NA,Kansas,United States,2020-08-28,177.85
city,Wichita,driving,NA,Kansas,United States,2020-08-29,166.85
city,Wichita,driving,NA,Kansas,United States,2020-08-30,119.5
city,Wichita,driving,NA,Kansas,United States,2020-08-31,137.56
city,Wichita,driving,NA,Kansas,United States,2020-09-01,146.89
city,Wichita,driving,NA,Kansas,United States,2020-09-02,149.2
city,Wichita,driving,NA,Kansas,United States,2020-09-03,158.78
city,Wichita,driving,NA,Kansas,United States,2020-09-04,183.95
city,Wichita,driving,NA,Kansas,United States,2020-09-05,163.26
city,Wichita,driving,NA,Kansas,United States,2020-09-06,124.4
city,Wichita,driving,NA,Kansas,United States,2020-09-07,115.38
city,Wichita,driving,NA,Kansas,United States,2020-09-08,138.26
city,Wichita,driving,NA,Kansas,United States,2020-09-09,133.51
city,Wichita,driving,NA,Kansas,United States,2020-09-10,144.94
city,Wichita,driving,NA,Kansas,United States,2020-09-11,170.55
city,Wichita,driving,NA,Kansas,United States,2020-09-12,173.59
city,Wichita,driving,NA,Kansas,United States,2020-09-13,121.53
city,Wichita,driving,NA,Kansas,United States,2020-09-14,139.27
city,Wichita,driving,NA,Kansas,United States,2020-09-15,144.49
city,Wichita,driving,NA,Kansas,United States,2020-09-16,146.08
city,Wichita,driving,NA,Kansas,United States,2020-09-17,151.69
city,Wichita,driving,NA,Kansas,United States,2020-09-18,176.48
city,Wichita,driving,NA,Kansas,United States,2020-09-19,175.98
city,Wichita,driving,NA,Kansas,United States,2020-09-20,117.68
city,Wichita,driving,NA,Kansas,United States,2020-09-21,131.49
city,Wichita,driving,NA,Kansas,United States,2020-09-22,132.87
city,Wichita,driving,NA,Kansas,United States,2020-09-23,139.55
city,Wichita,driving,NA,Kansas,United States,2020-09-24,144.54
city,Wichita,driving,NA,Kansas,United States,2020-09-25,171.25
city,Wichita,driving,NA,Kansas,United States,2020-09-26,172.84
city,Wichita,driving,NA,Kansas,United States,2020-09-27,109.96
city,Wichita,driving,NA,Kansas,United States,2020-09-28,128.33
city,Wichita,driving,NA,Kansas,United States,2020-09-29,132.32
city,Wichita,driving,NA,Kansas,United States,2020-09-30,133.38
city,Wichita,driving,NA,Kansas,United States,2020-10-01,139.26
city,Wichita,driving,NA,Kansas,United States,2020-10-02,164.08
city,Wichita,driving,NA,Kansas,United States,2020-10-03,161.03
city,Wichita,driving,NA,Kansas,United States,2020-10-04,109.88
city,Wichita,driving,NA,Kansas,United States,2020-10-05,123.08
city,Wichita,driving,NA,Kansas,United States,2020-10-06,130.11
city,Wichita,driving,NA,Kansas,United States,2020-10-07,129.19
city,Wichita,driving,NA,Kansas,United States,2020-10-08,140.86
city,Wichita,driving,NA,Kansas,United States,2020-10-09,170.12
city,Wichita,driving,NA,Kansas,United States,2020-10-10,176.5
city,Wichita,driving,NA,Kansas,United States,2020-10-11,121.35
city,Wichita,driving,NA,Kansas,United States,2020-10-12,123.75
city,Wichita,driving,NA,Kansas,United States,2020-10-13,126.93
city,Wichita,driving,NA,Kansas,United States,2020-10-14,131.43
city,Wichita,driving,NA,Kansas,United States,2020-10-15,139.84
city,Wichita,driving,NA,Kansas,United States,2020-10-16,169.41
city,Wichita,driving,NA,Kansas,United States,2020-10-17,169.02
city,Wichita,driving,NA,Kansas,United States,2020-10-18,107.18
city,Wichita,driving,NA,Kansas,United States,2020-10-19,121.46
city,Wichita,driving,NA,Kansas,United States,2020-10-20,122.76
city,Wichita,driving,NA,Kansas,United States,2020-10-21,127.02
city,Wichita,driving,NA,Kansas,United States,2020-10-22,136.34
city,Wichita,driving,NA,Kansas,United States,2020-10-23,161.16
city,Wichita,driving,NA,Kansas,United States,2020-10-24,162.86
city,Wichita,driving,NA,Kansas,United States,2020-10-25,103.32
city,Wichita,driving,NA,Kansas,United States,2020-10-26,97.96
city,Wichita,driving,NA,Kansas,United States,2020-10-27,100.1
city,Wichita,driving,NA,Kansas,United States,2020-10-28,119.02
city,Wichita,driving,NA,Kansas,United States,2020-10-29,133.17
city,Wichita,driving,NA,Kansas,United States,2020-10-30,168.41
city,Wichita,driving,NA,Kansas,United States,2020-10-31,161.29
city,Wichita,driving,NA,Kansas,United States,2020-11-01,99.98
city,Wichita,driving,NA,Kansas,United States,2020-11-02,117.09
city,Wichita,driving,NA,Kansas,United States,2020-11-03,120.96
city,Wichita,driving,NA,Kansas,United States,2020-11-04,109.04
city,Wichita,driving,NA,Kansas,United States,2020-11-05,117.92
city,Wichita,driving,NA,Kansas,United States,2020-11-06,147.56
city,Wichita,driving,NA,Kansas,United States,2020-11-07,138.51
city,Wichita,driving,NA,Kansas,United States,2020-11-08,94.89
city,Wichita,driving,NA,Kansas,United States,2020-11-09,106.71
city,Wichita,driving,NA,Kansas,United States,2020-11-10,108.89
city,Wichita,driving,NA,Kansas,United States,2020-11-11,114.53
city,Wichita,driving,NA,Kansas,United States,2020-11-12,103.38
city,Wichita,driving,NA,Kansas,United States,2020-11-13,134.16
city,Wichita,driving,NA,Kansas,United States,2020-11-14,130.76
city,Wichita,driving,NA,Kansas,United States,2020-11-15,89.16
city,Wichita,driving,NA,Kansas,United States,2020-11-16,106.08
city,Wichita,driving,NA,Kansas,United States,2020-11-17,107.68
city,Wichita,driving,NA,Kansas,United States,2020-11-18,109.22
city,Wichita,driving,NA,Kansas,United States,2020-11-19,114.02
city,Wichita,driving,NA,Kansas,United States,2020-11-20,135.1
city,Wichita,driving,NA,Kansas,United States,2020-11-21,118.8
city,Wichita,driving,NA,Kansas,United States,2020-11-22,87.16
city,Wichita,driving,NA,Kansas,United States,2020-11-23,109.72
city,Wichita,driving,NA,Kansas,United States,2020-11-24,116.53
city,Wichita,driving,NA,Kansas,United States,2020-11-25,126.85
city,Wichita,driving,NA,Kansas,United States,2020-11-26,61.77
city,Wichita,driving,NA,Kansas,United States,2020-11-27,113.94
city,Wichita,driving,NA,Kansas,United States,2020-11-28,113.55
city,Wichita,driving,NA,Kansas,United States,2020-11-29,86.42
city,Wichita,driving,NA,Kansas,United States,2020-11-30,107.97
city,Wichita,driving,NA,Kansas,United States,2020-12-01,111.24
city,Wichita,driving,NA,Kansas,United States,2020-12-02,105.21
city,Wichita,driving,NA,Kansas,United States,2020-12-03,107.61
city,Wichita,driving,NA,Kansas,United States,2020-12-04,132.65
city,Wichita,driving,NA,Kansas,United States,2020-12-05,134.78
city,Wichita,driving,NA,Kansas,United States,2020-12-06,92.21
city,Wichita,driving,NA,Kansas,United States,2020-12-07,110.45
city,Wichita,driving,NA,Kansas,United States,2020-12-08,115.53
city,Wichita,driving,NA,Kansas,United States,2020-12-09,116.4
city,Wichita,driving,NA,Kansas,United States,2020-12-10,121.9
city,Wichita,driving,NA,Kansas,United States,2020-12-11,139.28
city,Wichita,driving,NA,Kansas,United States,2020-12-12,142.33
city,Wichita,driving,NA,Kansas,United States,2020-12-13,89.75
city,Wichita,driving,NA,Kansas,United States,2020-12-14,113.86
city,Wichita,driving,NA,Kansas,United States,2020-12-15,108.54
city,Wichita,driving,NA,Kansas,United States,2020-12-16,116.57
city,Wichita,driving,NA,Kansas,United States,2020-12-17,126.29
city,Wichita,driving,NA,Kansas,United States,2020-12-18,150.62
city,Wichita,driving,NA,Kansas,United States,2020-12-19,146.72
city,Wichita,driving,NA,Kansas,United States,2020-12-20,104.07
city,Wichita,driving,NA,Kansas,United States,2020-12-21,134.8
city,Wichita,driving,NA,Kansas,United States,2020-12-22,140.02
city,Wichita,driving,NA,Kansas,United States,2020-12-23,144.28
city,Wichita,driving,NA,Kansas,United States,2020-12-24,100.49
city,Wichita,driving,NA,Kansas,United States,2020-12-25,55.95
city,Wichita,driving,NA,Kansas,United States,2020-12-26,111.84
city,Wichita,driving,NA,Kansas,United States,2020-12-27,92.23
city,Wichita,driving,NA,Kansas,United States,2020-12-28,116.35
city,Wichita,driving,NA,Kansas,United States,2020-12-29,106.86
city,Wichita,driving,NA,Kansas,United States,2020-12-30,122.66
city,Wichita,driving,NA,Kansas,United States,2020-12-31,130.76
city,Wichita,driving,NA,Kansas,United States,2021-01-01,68.35
city,Wichita,driving,NA,Kansas,United States,2021-01-02,113.51
city,Wichita,driving,NA,Kansas,United States,2021-01-03,87.89
city,Wichita,driving,NA,Kansas,United States,2021-01-04,112.18
city,Wichita,driving,NA,Kansas,United States,2021-01-05,115.63
city,Wichita,driving,NA,Kansas,United States,2021-01-06,109.88
city,Wichita,driving,NA,Kansas,United States,2021-01-07,111.55
city,Wichita,driving,NA,Kansas,United States,2021-01-08,128.37
city,Wichita,driving,NA,Kansas,United States,2021-01-09,130.73
city,Wichita,driving,NA,Kansas,United States,2021-01-10,92.43
city,Wichita,driving,NA,Kansas,United States,2021-01-11,106.11
city,Wichita,driving,NA,Kansas,United States,2021-01-12,107.94
city,Wichita,driving,NA,Kansas,United States,2021-01-13,111.01
city,Wichita,driving,NA,Kansas,United States,2021-01-14,114.01
city,Wichita,driving,NA,Kansas,United States,2021-01-15,129.92
city,Wichita,driving,NA,Kansas,United States,2021-01-16,133.14
city,Wichita,driving,NA,Kansas,United States,2021-01-17,91.9
city,Wichita,driving,NA,Kansas,United States,2021-01-18,109.68
city,Wichita,driving,NA,Kansas,United States,2021-01-19,108.65
city,Wichita,driving,NA,Kansas,United States,2021-01-20,106.7
city,Wichita,driving,NA,Kansas,United States,2021-01-21,113.25
city,Wichita,driving,NA,Kansas,United States,2021-01-22,132.92
city,Wichita,driving,NA,Kansas,United States,2021-01-23,128.71
city,Wichita,driving,NA,Kansas,United States,2021-01-24,86.2
city,Wichita,driving,NA,Kansas,United States,2021-01-25,101.61
city,Wichita,driving,NA,Kansas,United States,2021-01-26,104.7
city,Wichita,driving,NA,Kansas,United States,2021-01-27,106.05
city,Wichita,driving,NA,Kansas,United States,2021-01-28,112.56
city,Wichita,driving,NA,Kansas,United States,2021-01-29,132.35
city,Wichita,driving,NA,Kansas,United States,2021-01-30,130.58
city,Wichita,driving,NA,Kansas,United States,2021-01-31,92.97
city,Wichita,driving,NA,Kansas,United States,2021-02-01,109.67
city,Wichita,driving,NA,Kansas,United States,2021-02-02,113.16
city,Wichita,driving,NA,Kansas,United States,2021-02-03,113.31
city,Wichita,driving,NA,Kansas,United States,2021-02-04,113.04
city,Wichita,driving,NA,Kansas,United States,2021-02-05,136.08
city,Wichita,driving,NA,Kansas,United States,2021-02-06,122.86
city,Wichita,driving,NA,Kansas,United States,2021-02-07,79.22
city,Wichita,driving,NA,Kansas,United States,2021-02-08,87.57
city,Wichita,driving,NA,Kansas,United States,2021-02-09,97.03
city,Wichita,driving,NA,Kansas,United States,2021-02-10,101.22
city,Wichita,driving,NA,Kansas,United States,2021-02-11,107.74
city,Wichita,driving,NA,Kansas,United States,2021-02-12,125.17
city,Wichita,driving,NA,Kansas,United States,2021-02-13,118.73
city,Wichita,driving,NA,Kansas,United States,2021-02-14,56.23
city,Wichita,driving,NA,Kansas,United States,2021-02-15,59.2
city,Wichita,driving,NA,Kansas,United States,2021-02-16,84.39
city,Wichita,driving,NA,Kansas,United States,2021-02-17,96.47
city,Wichita,driving,NA,Kansas,United States,2021-02-18,107.69
city,Wichita,driving,NA,Kansas,United States,2021-02-19,132.47
city,Wichita,driving,NA,Kansas,United States,2021-02-20,137.77
city,Wichita,driving,NA,Kansas,United States,2021-02-21,94.5
city,Wichita,driving,NA,Kansas,United States,2021-02-22,114.96
city,Wichita,driving,NA,Kansas,United States,2021-02-23,122.97
city,Wichita,driving,NA,Kansas,United States,2021-02-24,122.46
city,Wichita,driving,NA,Kansas,United States,2021-02-25,124.83
city,Wichita,driving,NA,Kansas,United States,2021-02-26,150.06
city,Wichita,driving,NA,Kansas,United States,2021-02-27,160.34
city,Wichita,driving,NA,Kansas,United States,2021-02-28,105.78
city,Wichita,driving,NA,Kansas,United States,2021-03-01,120.87
city,Wichita,driving,NA,Kansas,United States,2021-03-02,123.11
city,Wichita,driving,NA,Kansas,United States,2021-03-03,126.62
city,Wichita,driving,NA,Kansas,United States,2021-03-04,130.8
city,Wichita,driving,NA,Kansas,United States,2021-03-05,156.14
city,Wichita,driving,NA,Kansas,United States,2021-03-06,162.36
city,Wichita,driving,NA,Kansas,United States,2021-03-07,109.77
city,Wichita,driving,NA,Kansas,United States,2021-03-08,121.02
city,Wichita,driving,NA,Kansas,United States,2021-03-09,123.77
city,Wichita,driving,NA,Kansas,United States,2021-03-10,128.31
city,Wichita,driving,NA,Kansas,United States,2021-03-11,133.85
city,Wichita,driving,NA,Kansas,United States,2021-03-12,NA
city,Wichita,driving,NA,Kansas,United States,2021-03-13,162.42
city,Wichita,driving,NA,Kansas,United States,2021-03-14,116.88
city,Wichita,driving,NA,Kansas,United States,2021-03-15,137.27
city,Wichita,driving,NA,Kansas,United States,2021-03-16,143.28
city,Wichita,driving,NA,Kansas,United States,2021-03-17,136.15
city,Wichita,driving,NA,Kansas,United States,2021-03-18,148.22
city,Wichita,driving,NA,Kansas,United States,2021-03-19,174.76
city,Wichita,driving,NA,Kansas,United States,2021-03-20,170.37
city,Wichita,driving,NA,Kansas,United States,2021-03-21,118.38
city,Wichita,driving,NA,Kansas,United States,2021-03-22,125.87
