geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Birmingham,driving,NA,Alabama,United States,2020-04-05,38.97
city,Birmingham,driving,NA,Alabama,United States,2020-04-06,55.39
city,Birmingham,driving,NA,Alabama,United States,2020-04-07,54.36
city,Birmingham,driving,NA,Alabama,United States,2020-04-08,56.89
city,Birmingham,driving,NA,Alabama,United States,2020-04-09,63.28
city,Birmingham,driving,NA,Alabama,United States,2020-04-10,68.22
city,Birmingham,driving,NA,Alabama,United States,2020-04-11,58.94
city,Birmingham,driving,NA,Alabama,United States,2020-04-12,28.15
city,Birmingham,driving,NA,Alabama,United States,2020-04-13,61.07
city,Birmingham,driving,NA,Alabama,United States,2020-04-14,64.75
city,Birmingham,driving,NA,Alabama,United States,2020-04-15,68.64
city,Birmingham,driving,NA,Alabama,United States,2020-04-16,71.67
city,Birmingham,driving,NA,Alabama,United States,2020-04-17,79.49
city,Birmingham,driving,NA,Alabama,United States,2020-04-18,70.49
city,Birmingham,driving,NA,Alabama,United States,2020-04-19,40.74
city,Birmingham,driving,NA,Alabama,United States,2020-04-20,73.38
city,Birmingham,driving,NA,Alabama,United States,2020-04-21,73.89
city,Birmingham,driving,NA,Alabama,United States,2020-04-22,74.99
city,Birmingham,driving,NA,Alabama,United States,2020-04-23,67.71
city,Birmingham,driving,NA,Alabama,United States,2020-04-24,84.84
city,Birmingham,driving,NA,Alabama,United States,2020-04-25,75.47
city,Birmingham,driving,NA,Alabama,United States,2020-04-26,57.66
city,Birmingham,driving,NA,Alabama,United States,2020-04-27,74.41
city,Birmingham,driving,NA,Alabama,United States,2020-04-28,77
city,Birmingham,driving,NA,Alabama,United States,2020-04-29,71.84
city,Birmingham,driving,NA,Alabama,United States,2020-04-30,84.46
city,Birmingham,driving,NA,Alabama,United States,2020-05-01,95.84
city,Birmingham,driving,NA,Alabama,United States,2020-05-02,84.06
city,Birmingham,driving,NA,Alabama,United States,2020-05-03,65.31
city,Birmingham,driving,NA,Alabama,United States,2020-05-04,85.51
city,Birmingham,driving,NA,Alabama,United States,2020-05-05,87.23
city,Birmingham,driving,NA,Alabama,United States,2020-05-06,90.92
city,Birmingham,driving,NA,Alabama,United States,2020-05-07,93.28
city,Birmingham,driving,NA,Alabama,United States,2020-05-08,97.39
city,Birmingham,driving,NA,Alabama,United States,2020-05-09,95.59
city,Birmingham,driving,NA,Alabama,United States,2020-05-10,66.37
